# Generated by tools/gen-exobiology.py. Do not edit by hand — rerun the tool.
# Source: spansh.co.uk api/bodies/search, 2026-09-13. Species and
# values from surveyed landmarks whose value is above zero; up to 500 surveyed bodies sampled per
# species for the condition ranges. Game data is Frontier's, used under their media usage rules;
# see NOTICE. Categorical columns keep a value seen on at least 2% of the sampled bodies; numeric
# ranges are the 1st-99th percentile. Atmosphere, planet type and volcanism are normalised — see
# normalise_planet_type, normalise_atmosphere and normalise_volcanism in this file, mirrored in
# ExobiologyCatalogue's private NormalisePlanetType, NormaliseAtmosphere and NormaliseVolcanism,
# which apply the same fold to a live journal Scan.
species	genus	value	bodies_sampled	planet_types	atmospheres	volcanism	gravity_low	gravity_high	temperature_low	temperature_high	pressure_low	pressure_high	regions
Croceum Anemone	Anemone	1499900	396	rockybody	none	majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers	0.0454	0.3696	206.8	436.6	0.000000	0.000005	Elysian Shore;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Newton's Vault;Orion-Cygnus Arm;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Temple;The Conduit;Vulcan Gate
Crystalline Shards	Shards	1628800	500	highmetalcontentbody;icybody;rockybody;rockyicebody	carbondioxide;neon;neonrich;none	minorammoniamagma;minorcarbondioxidegeysers;minormetallicmagma;minormethanemagma;minornitrogenmagma;minorrockymagma;minorsilicatevapourgeysers;minorwatermagma	0.0295	1.3811	34.6	249.3	0.000000	0.081073	Acheron;Achilles's Altar;Aquila's Halo;Elysian Shore;Errant Marches;Formorian Frontier;Hieronymus Delta;Kepler's Crest;Lyra's Song;Mare Somnia;Outer Arm;Outer Scutum-Centaurus Arm;Sagittarius-Carina Arm;Sanguineous Rim;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Void;Xibalba
Electricae Pluma	Electricae	6284600	500	icybody	argon;argonrich	majorwatergeysers;none	0.0462	0.2726	50.7	137.0	0.001013	0.078429	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Electricae Radialem	Electricae	6284600	500	icybody	argon;argonrich	none	0.0461	0.2695	50.4	123.5	0.001016	0.075415	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate
Fonticulua Campestris	Fonticulua	1000000	500	icybody;rockyicebody	argon	none	0.0465	0.2729	50.6	128.2	0.001011	0.048643	Acheron;Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Temple;Tenebrae;The Conduit;The Formidine Rift;The Veils;The Void;Vulcan Gate
Fonticulua Digitos	Fonticulua	1804100	500	icybody	methane	minornitrogenmagma;none	0.0274	0.0478	86.0	106.7	0.036449	0.097896	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fonticulua Fluctus	Fonticulua	20000000	500	icybody	oxygen	majorwatergeysers;none	0.2389	0.2746	145.3	195.0	0.013506	0.074122	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fonticulua Lapida	Fonticulua	3111000	500	icybody	nitrogen	none	0.1929	0.2744	50.8	80.1	0.001063	0.094018	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fonticulua Segmentatus	Fonticulua	19010800	500	icybody	neonrich	none	0.2587	0.2750	60.7	68.1	0.001616	0.005394	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fonticulua Upupam	Fonticulua	5727600	500	icybody	argonrich	none	0.2133	0.2740	62.9	110.8	0.021408	0.097556	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Frutexa Acus	Frutexa	7774700	500	rockybody	carbondioxide	none	0.0441	0.2250	149.7	192.4	0.003727	0.096208	Achilles's Altar;Elysian Shore;Empyrean Straits;Galactic Centre;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sanguineous Rim;Temple;Vulcan Gate
Frutexa Collum	Frutexa	1639800	500	highmetalcontentbody;rockybody	sulfurdioxide	none	0.0461	0.2742	132.1	160.1	0.000990	0.004383	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Frutexa Fera	Frutexa	1632500	500	rockybody	carbondioxide	none	0.0452	0.2251	150.0	194.6	0.003783	0.094975	Aquila's Halo;Arcadian Stream;Empyrean Straits;Errant Marches;Galactic Centre;Inner Scutum-Centaurus Arm;Kepler's Crest;Newton's Vault;Norma Arm;Norma Expanse;Outer Arm;The Conduit;The Formidine Rift;Xibalba
Frutexa Flabellum	Frutexa	1808900	500	rockybody	ammonia	none	0.0482	0.2688	152.6	174.5	0.000999	0.006265	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Void;Vulcan Gate;Xibalba
Frutexa Flammasis	Frutexa	10326000	500	rockybody	ammonia	none	0.0495	0.2653	153.5	174.6	0.001001	0.007801	Aquila's Halo;Arcadian Stream;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Scutum-Centaurus Arm;Newton's Vault;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Scutum-Centaurus Arm;Temple;The Abyss;The Veils;The Void;Trojan Belt
Frutexa Metallicum	Frutexa	1632500	500	highmetalcontentbody	ammonia;carbondioxide	none	0.0571	0.2705	152.1	193.7	0.001033	0.095051	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Frutexa Sponsae	Frutexa	5988000	500	rockybody	water	none	0.0422	0.0545	402.5	446.7	0.061090	0.098431	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fumerola Aquatis	Fumerola	6284600	500	icybody;rockybody;rockyicebody	ammonia;argon;sulfurdioxide;water	majorwatergeysers;majorwatermagma;minorwatermagma;watergeysers;watermagma	0.0379	0.2616	58.4	434.4	0.001064	0.088932	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fumerola Carbosis	Fumerola	6284600	500	icybody	argon;methane;sulfurdioxide	carbondioxidegeysers;minorcarbondioxidegeysers;minormethanemagma	0.0274	0.2521	59.8	206.1	0.001459	0.096907	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fumerola Extremus	Fumerola	16202800	500	rockybody;rockyicebody	ammonia;methane;sulfurdioxide	majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers	0.0423	0.2737	79.4	176.5	0.001453	0.097994	Acheron;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;Vulcan Gate;Xibalba
Fumerola Nitris	Fumerola	7500900	500	icybody	argon;methane	minorammoniamagma;minornitrogenmagma	0.0283	0.2485	50.5	123.8	0.001018	0.096609	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;Trojan Belt;Vulcan Gate;Xibalba
Fungoida Bullarum	Fungoida	3703200	500	rockyicebody	argon;nitrogen	none	0.0753	0.2744	52.5	119.8	0.001063	0.035090	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fungoida Gelata	Fungoida	3330300	500	highmetalcontentbody;rockybody	carbondioxide;water	none	0.0431	0.2523	101.1	443.1	0.028616	0.098096	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Fungoida Setisis	Fungoida	1670100	500	highmetalcontentbody;rockybody	ammonia;methane	none	0.0505	0.2687	79.6	174.0	0.001005	0.052919	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate
Fungoida Stabitis	Fungoida	2680300	500	highmetalcontentbody;rockybody	carbondioxide;methane;water	majorsilicatevapourgeysers;none	0.0442	0.2586	92.5	440.0	0.027404	0.098130	Elysian Shore;Galactic Centre;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Sanguineous Rim;Temple;Vulcan Gate
Gypseeum Brain Tree	Brain Tree	1593700	500	rockybody	none	metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers	0.0472	0.2983	201.1	328.3	0.000000	0.000000	Empyrean Straits;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur;Temple
Lindigoticum Brain Tree	Brain Tree	1593700	30	highmetalcontentbody;rockybody	none	majorrockymagma;majorsilicatevapourgeysers;metallicmagma	0.0573	2.4010	309.2	499.4	0.000000	0.000000	Empyrean Straits;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur;Temple
Lindigoticum Sinuous Tubers	Tubers	1514500	312	highmetalcontentbody;rockybody	none	majorsilicatevapourgeysers	0.0444	0.4606	202.3	491.5	0.000000	0.000000	Arcadian Stream;Hawking's Gap;Inner Orion Spur;Inner Scutum-Centaurus Arm;Izanami;Norma Expanse;Odin's Hold
Lividum Brain Tree	Brain Tree	1593700	500	rockybody	none	majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers	0.0454	0.3426	302.0	496.3	0.000000	0.000000	Empyrean Straits;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur;Temple
Luteolum Anemone	Anemone	1499900	500	rockybody	none	majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;minorwatermagma	0.0454	0.4100	215.4	438.7	0.000000	0.008092	Elysian Shore;Errant Marches;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Newton's Vault;Orion-Cygnus Arm;Outer Arm;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Sanguineous Rim;Temple;The Conduit;The Void;Vulcan Gate
Osseus Cornibus	Osseus	1483000	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0567	0.2661	180.1	195.0	0.029116	0.097779	Achilles's Altar;Elysian Shore;Errant Marches;Galactic Centre;Izanami;Kepler's Crest;Lyra's Song;Newton's Vault;Odin's Hold;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sanguineous Rim;Tenebrae;Vulcan Gate
Osseus Discus	Osseus	12934900	500	highmetalcontentbody;rockybody	methane;water	majorsilicatevapourgeysers;none	0.0426	0.1237	85.9	446.9	0.011134	0.098265	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Osseus Fractus	Osseus	4027800	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0515	0.2661	180.0	189.8	0.028328	0.098131	Acheron;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Kepler's Crest;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Osseus Pellebantus	Osseus	9739000	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0467	0.2648	191.0	195.3	0.060713	0.098263	Acheron;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Kepler's Crest;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Osseus Pumice	Osseus	3156300	500	rockybody;rockyicebody	argon;methane;nitrogen	majorsilicatevapourgeysers;none	0.0460	0.2739	46.3	112.1	0.001109	0.089582	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Osseus Spiralis	Osseus	2404700	500	highmetalcontentbody;rockybody	ammonia	none	0.0524	0.2693	160.2	174.3	0.000998	0.004335	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Ostrinum Brain Tree	Brain Tree	1593700	500	highmetalcontentbody;metalrichbody	none	metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;rockymagma;silicatevapourgeysers	0.0572	1.8286	58.3	1282.7	0.000000	0.051317	Empyrean Straits;Inner Orion Spur;Outer Orion Spur;Temple
Prasinum Bioluminescent Anemone	Anemone	1499900	500	highmetalcontentbody;metalrichbody;rockybody	none;sulfurdioxide	majormetallicmagma;majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorsilicatevapourgeysers;none	0.0634	4.1374	150.8	2650.0	0.000000	0.030061	Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Conduit;The Formidine Rift;The Veils;Trojan Belt;Vulcan Gate
Prasinum Sinuous Tubers	Tubers	1514500	500	highmetalcontentbody;rockybody	carbondioxide;none;sulfurdioxide	majorrockymagma;majorsilicatevapourgeysers	0.0505	2.7475	204.6	498.1	0.000000	0.026576	Arcadian Stream;Empyrean Straits;Galactic Centre;Inner Scutum-Centaurus Arm;Norma Arm;Norma Expanse;Odin's Hold;Ryker's Hope;Trojan Belt
